P01/P01_01	8	202	2	8
P01/P01_01	262	370	12	113
P01/P01_01	418	569	3	8
P01/P01_01	766	839	2	10
P01/P01_01	915	983	0	185
P01/P01_01	990	1083	0	29
P01/P01_01	1091	1268	0	159
P01/P01_01	1314	1399	3	10
P01/P01_01	1390	1457	2	10
P01/P01_01	1468	1676	0	40
P01/P01_01	1498	1572	2	9
P01/P01_01	1753	1879	3	10
P01/P01_01	2200	2266	1	90
P01/P01_01	2507	2553	2	8
P01/P01_01	2592	2798	0	19
P01/P01_01	2787	2868	1	19
P01/P01_01	2865	2925	3	8
P01/P01_01	3099	3180	2	9
P01/P01_01	3210	3360	0	5
P01/P01_01	3213	3261	0	5
P01/P01_01	3283	3344	1	5
P01/P01_01	3366	3396	3	9
P01/P01_01	3447	3522	1	5
P01/P01_01	3543	3738	2	3
P01/P01_01	3711	3913	4	69
P01/P01_01	3912	4387	4	69
P01/P01_01	4457	4733	4	40
P01/P01_01	4739	4967	4	40
P01/P01_01	4931	4991	3	3
P01/P01_01	5129	5189	1	90
P01/P01_01	5245	5297	2	8
P01/P01_01	5551	5645	0	131
P01/P01_01	5716	5973	0	1
P01/P01_01	6044	6135	1	1
P01/P01_01	6099	6144	3	8
P01/P01_01	6181	6226	3	8
P01/P01_01	6246	6313	0	69
P01/P01_01	6341	7321	5	69
P01/P01_01	7327	7618	12	47
P01/P01_01	7668	8693	5	69
P01/P01_01	7859	8747	5	69
P01/P01_01	9031	9939	5	69
P01/P01_01	9945	10816	5	69
P01/P01_01	10822	11634	5	69
P01/P01_01	14342	14928	5	69
P01/P01_01	15003	15472	7	69
P01/P01_01	15701	15878	8	69
P01/P01_01	15903	15986	2	9
P01/P01_01	16114	16154	3	9
P01/P01_01	16225	16329	0	22
P01/P01_01	16324	16671	6	69
P01/P01_01	16776	16881	0	31
P01/P01_01	16887	16975	2	31
P01/P01_01	16968	17103	7	31
P01/P01_01	17109	17207	1	31
P01/P01_01	17271	17655	6	69
P01/P01_01	17661	17736	1	22
P01/P01_01	17742	17982	0	185
P01/P01_01	18075	18930	4	185
P01/P01_01	18078	18207	2	3
P01/P01_01	18213	18929	4	185
P01/P01_01	18901	18956	3	3
P01/P01_01	19095	19200	1	185
P01/P01_01	19366	19690	5	185
P01/P01_01	19696	20284	5	185
P01/P01_01	20498	20772	7	185
P01/P01_01	20760	20860	1	19
P01/P01_01	20839	21227	0	185
P01/P01_01	21245	21506	8	185
P01/P01_01	21612	21710	2	10
P01/P01_01	21645	21784	1	185
P01/P01_01	21784	21849	3	10
P01/P01_01	22040	22100	0	22
P01/P01_01	22102	22681	6	22
