P01/P01_01	8	202	8
P01/P01_01	262	370	113
P01/P01_01	418	569	8
P01/P01_01	766	839	10
P01/P01_01	915	983	185
P01/P01_01	990	1083	29
P01/P01_01	1091	1268	159
P01/P01_01	1314	1399	10
P01/P01_01	1390	1457	10
P01/P01_01	1468	1676	40
P01/P01_01	1498	1572	9
P01/P01_01	1753	1879	10
P01/P01_01	2200	2266	90
P01/P01_01	2507	2553	8
P01/P01_01	2592	2798	19
P01/P01_01	2787	2868	19
P01/P01_01	2865	2925	8
P01/P01_01	3099	3180	9
P01/P01_01	3210	3360	5
P01/P01_01	3213	3261	5
P01/P01_01	3283	3344	5
P01/P01_01	3366	3396	9
P01/P01_01	3447	3522	5
P01/P01_01	3543	3738	3
P01/P01_01	3711	3913	69
P01/P01_01	3912	4387	69
P01/P01_01	4457	4733	40
P01/P01_01	4739	4967	40
P01/P01_01	4931	4991	3
P01/P01_01	5129	5189	90
P01/P01_01	5245	5297	8
P01/P01_01	5551	5645	131
P01/P01_01	5716	5973	1
P01/P01_01	6044	6135	1
P01/P01_01	6099	6144	8
P01/P01_01	6181	6226	8
P01/P01_01	6246	6313	69
P01/P01_01	6341	7321	69
P01/P01_01	7327	7618	47
P01/P01_01	7668	8693	69
P01/P01_01	7859	8747	69
P01/P01_01	9031	9939	69
P01/P01_01	9945	10816	69
P01/P01_01	10822	11634	69
P01/P01_01	14342	14928	69
P01/P01_01	15003	15472	69
P01/P01_01	15701	15878	69
P01/P01_01	15903	15986	9
P01/P01_01	16114	16154	9
P01/P01_01	16225	16329	22
P01/P01_01	16324	16671	69
P01/P01_01	16776	16881	31
P01/P01_01	16887	16975	31
P01/P01_01	16968	17103	31
P01/P01_01	17109	17207	31
P01/P01_01	17271	17655	69
P01/P01_01	17661	17736	22
P01/P01_01	17742	17982	185
P01/P01_01	18075	18930	185
P01/P01_01	18078	18207	3
P01/P01_01	18213	18929	185
P01/P01_01	18901	18956	3
P01/P01_01	19095	19200	185
P01/P01_01	19366	19690	185
P01/P01_01	19696	20284	185
P01/P01_01	20498	20772	185
P01/P01_01	20760	20860	19
P01/P01_01	20839	21227	185
P01/P01_01	21245	21506	185
P01/P01_01	21612	21710	10
P01/P01_01	21645	21784	185
P01/P01_01	21784	21849	10
P01/P01_01	22040	22100	22
P01/P01_01	22102	22681	22
P01/P01_01	22669	22758	22
P01/P01_01	22755	22872	29
P01/P01_01	22891	23091	13
P01/P01_01	23040	23085	13
P01/P01_01	23091	23134	13
P01/P01_01	23128	23302	29
P01/P01_01	23431	23476	22
P01/P01_01	23457	23527	5
P01/P01_01	23555	23925	13
P01/P01_01	23724	24421	13
P01/P01_01	24503	25330	13
P01/P01_01	25481	25585	5
P01/P01_01	25617	25761	38
P01/P01_01	25784	26028	3
P01/P01_01	25794	26266	17
P01/P01_01	26220	26589	17
P01/P01_01	26490	26535	3
P01/P01_01	26706	26827	38
P01/P01_01	27004	27048	22
P01/P01_01	27033	27498	90
P01/P01_01	27334	27884	90
P01/P01_01	28050	28113	16
P01/P01_01	28148	28219	16
P01/P01_01	28287	28362	8
P01/P01_01	28450	28633	16
P01/P01_01	28604	28759	8
P01/P01_01	28785	28852	23
P01/P01_01	28888	28932	8
P01/P01_01	28927	28980	23
P01/P01_01	29113	29232	29
P01/P01_01	29302	29347	29
P01/P01_01	29520	29564	29
P01/P01_01	29593	29662	29
P01/P01_01	29748	29819	11
P01/P01_01	29978	30036	29
P01/P01_01	30141	30198	4
P01/P01_01	30279	30475	4
P01/P01_01	30489	30596	9
P01/P01_01	30557	30692	9
P01/P01_01	30759	30865	9
P01/P01_01	31008	31082	9
P01/P01_01	31072	31147	18
P01/P01_01	31160	31215	18
P01/P01_01	31271	31324	22
P01/P01_01	31315	31713	90
P01/P01_01	32522	32578	29
P01/P01_01	32783	32845	10
P01/P01_01	32844	32940	29
P01/P01_01	32956	33001	10
P01/P01_01	33204	33269	22
P01/P01_01	33279	33510	90
P01/P01_01	33667	33739	131
P01/P01_01	33667	33751	131
P01/P01_01	33724	33768	40
P01/P01_01	33855	34130	40
P01/P01_01	34150	34261	131
P01/P01_01	34465	35215	40
P01/P01_01	35221	35734	40
P01/P01_01	35417	36043	40
P01/P01_01	36131	38339	40
P01/P01_01	38370	38416	131
P01/P01_01	38508	38569	40
P01/P01_01	38669	38719	131
P01/P01_01	38980	39046	131
P01/P01_01	39166	39229	40
P01/P01_01	39285	39345	22
P01/P01_01	39343	39657	90
P01/P01_01	39753	39813	8
P01/P01_01	39813	39918	1
P01/P01_01	40038	40449	1
P01/P01_01	40500	40619	47
P01/P01_01	40770	40937	38
P01/P01_01	41004	41841	17
P01/P01_01	41193	41493	17
P01/P01_01	41944	42114	38
P01/P01_01	42231	42324	24
P01/P01_01	42472	42784	24
P01/P01_01	42788	42983	24
P01/P01_01	42989	43069	24
P01/P01_01	43075	43128	22
P01/P01_01	43141	43202	19
P01/P01_01	43227	43342	13
P01/P01_01	43347	43413	19
P01/P01_01	43422	43888	90
P01/P01_01	43822	45004	90
P01/P01_01	45023	45091	31
